,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
tezu,in,2017-12-09,2017-12-09 14:48:13,0.0,77.0,27.92,96.17,55.19,1.72
warri,ng,2017-12-09,2017-12-09 14:48:13,64.0,100.0,5.52,5.75,77.38,4.18
saint-joseph,re,2017-12-09,2017-12-09 14:00:00,20.0,65.0,-21.37,55.62,80.6,17.22
dunedin,nz,2017-12-09,2017-12-09 14:46:02,88.0,46.0,-45.87,170.5,60.91,10.56
broken hill,au,2017-12-09,2017-12-09 14:48:14,0.0,71.0,-31.95,141.43,59.06,7.43
camacupa,ao,2017-12-09,2017-12-09 14:48:14,92.0,94.0,-12.02,17.48,70.22,3.62
feodosiya,ua,2017-12-09,2017-12-09 14:48:15,24.0,96.0,45.03,35.38,50.78,16.04
sao goncalo do sapucai,br,2017-12-09,2017-12-09 14:48:15,8.0,92.0,-21.89,-45.6,77.83,3.06
te anau,nz,2017-12-09,2017-12-09 14:48:15,12.0,70.0,-45.42,167.72,51.1,14.03
port blair,in,2017-12-09,2017-12-09 14:48:16,12.0,96.0,11.67,92.75,84.31,10.11
chabua,in,2017-12-09,2017-12-09 14:48:16,0.0,86.0,27.48,95.17,56.68,1.72
taree,au,2017-12-09,2017-12-09 14:00:00,90.0,93.0,-31.9,152.47,60.8,5.82
lokosovo,ru,2017-12-09,2017-12-09 14:48:17,64.0,81.0,61.13,74.82,8.53,10.78
pasni,pk,2017-12-09,2017-12-09 14:48:17,0.0,81.0,25.26,63.47,71.71,10.0
kabo,cf,2017-12-09,2017-12-09 14:48:17,0.0,28.0,7.7,18.63,93.31,8.1
los llanos de aridane,es,2017-12-09,2017-12-09 14:30:00,20.0,56.0,28.66,-17.92,71.6,11.41
sao joao da barra,br,2017-12-09,2017-12-09 14:00:00,75.0,65.0,-21.64,-41.05,80.6,9.55
lompoc,us,2017-12-09,2017-12-09 14:35:00,1.0,44.0,34.64,-120.46,48.2,4.07
pontes e lacerda,br,2017-12-09,2017-12-09 14:48:18,20.0,77.0,-15.23,-59.34,88.9,7.31
lebu,cl,2017-12-09,2017-12-09 14:48:19,0.0,93.0,-37.62,-73.65,55.6,20.4
bundibugyo,ug,2017-12-09,2017-12-09 14:48:19,12.0,76.0,0.74,30.04,72.47,2.17
esperance,au,2017-12-09,2017-12-09 14:48:19,20.0,29.0,-33.87,121.9,70.63,11.12
aswan,eg,2017-12-09,2017-12-09 14:00:00,0.0,28.0,24.09,32.91,82.4,8.05
weihai,cn,2017-12-09,2017-12-09 14:48:20,68.0,100.0,37.5,122.11,46.55,18.95
mecca,sa,2017-12-09,2017-12-09 14:00:00,12.0,26.0,21.43,39.83,91.4,2.24
hildburghausen,de,2017-12-09,2017-12-09 14:20:00,75.0,90.0,50.43,10.73,32.0,20.8
pionerskiy,ru,2017-12-09,2017-12-09 14:00:00,75.0,69.0,54.95,20.23,35.6,13.42
syamzha,ru,2017-12-09,2017-12-09 14:48:21,88.0,90.0,60.02,41.06,22.34,10.67
buritis,br,2017-12-09,2017-12-09 14:48:22,48.0,69.0,-15.62,-46.42,83.81,11.01
timra,se,2017-12-09,2017-12-09 14:20:00,0.0,100.0,62.49,17.33,33.8,4.97
fortuna,us,2017-12-09,2017-12-09 14:35:00,90.0,84.0,40.6,-124.16,46.4,14.99
roebourne,au,2017-12-09,2017-12-09 14:48:23,0.0,68.0,-20.78,117.13,78.95,10.45
